CD3+	CD3+		Lyoplate Cell Type	Lyoplate Definition
CD4+	CD4+			
CD8+	CD8+			
CCR7+	CCR7+			
CD45RA+	CD45RA+			
CD38+	CD38+			
HLA.DR+	HLA.DR+			
CD127+	CD127+			
CD25+	CD25+			
CCR4+	CCR4+			
CD45RO+	CD45RO+			
CXCR3+	CXCR3+			
CCR6+	CCR6+			
CD19+	CD19+			
CD20+	CD20+			
CD27+	CD27+			
IgD+	IgD+			
CD24+	CD24+			
CD14+	CD14+	monocytes		
CD11c+	CD11c+			
CD123+	CD123+			
CD16+	CD16+			
CD56+	CD56+			
CD3-	CD3-			
CD4-	CD4-			
CD8-	CD8-			
CCR7-	CCR7-			
CD45RA-	CD45RA-			
CD38-	CD38-			
HLA.DR-	HLA.DR-			
CD127-	CD127-			
CD25-	CD25-			
CCR4-	CCR4-			
CD45RO-	CD45RO-			
CXCR3-	CXCR3-			
CCR6-	CCR6-			
CD19-	CD19-			
CD20-	CD20-			
CD27-	CD27-			
IgD-	IgD-			
CD24-	CD24-			
CD14-	CD14-			
CD11c-	CD11c-			
CD123-	CD123-			
CD16-	CD16-			
CD56-	CD56-			
CD3-CD19+CD20+IgD-CD27-	CD3-CD19+CD20+IgD-CD27-			
CD3-CD19+CD20+IgD+CD27-	CD3-CD19+CD20+IgD+CD27-	naive B cell	naïve B	CD3-, CD19+, CD20+, CD27-, IgD+
CD3-CD19+CD20+IgD-CD27+	CD3-CD19+CD20+IgD-CD27+	memory B cell	IgD- memory B	CD3-, CD19+, CD20+, CD27+, IgD-
CD3-CD19+CD20+IgD+CD27+	CD3-CD19+CD20+IgD+CD27+	memory B cell	IgD+ memory B	CD3-, CD19+, CD20+, CD27+, IgD+
CD3-CD19+CD20+CD38+CD24+	CD3-CD19+CD20+CD38+CD24+	transitional B cell	transitional B	CD3-, CD19+, CD20+, CD24hi, CD38hi
CD3-CD19+CD20-CD38+CD27+	CD3-CD19+CD20-CD38+CD27+	plasmablasts	plasmablasts	CD3-, CD19+, CD20-, CD27hi, CD38hi
CD3+CD4+CCR7+CD45RA+	CD3+CD4+CCR7+CD45RA+	naive T cell	naïve T helper	CD3+, CD4+, CD8-, CCR7+, CD45RA+
CD3+CD4+CCR7+CD45RA-	CD3+CD4+CCR7+CD45RA-	central memory T cell	central memory T helper	CD3+, CD4+, CD8-, CCR7+, CD45RA-
CD3+CD4+CCR7-CD45RA-	CD3+CD4+CCR7-CD45RA-	effector memory T cell	effector memory T helper	CD3+, CD4+, CD8-, CCR7-, CD45RA-
CD3+CD4+CCR7-CD45RA+	CD3+CD4+CCR7-CD45RA+	effector T cell	effector T helper	CD3+, CD4+, CD8-, CCR7-, CD45RA+
CD3+CD4+CD38+HLA.DR+	CD3+CD4+CD38+HLA.DR+	activated T cell	activated T helper	CD3+, CD4+, CD8-, CD38+, HLA-DR+
CD3+CD4+CD38+HLA.DR-	CD3+CD4+CD38+HLA.DR-			
CD3+CD4+CD38-HLA.DR+	CD3+CD4+CD38-HLA.DR-			
CD3+CD4+CD38-HLA.DR-	CD3+CD4+CD38-HLA.DR+			
CD3+CD8+CCR7+CD45RA+	CD3+CD8+CCR7+CD45RA+	naive T cell	naïve cytotoxic T cell	CD3+, CD4-, CD8+, CCR7+, CD45RA+
CD3+CD8+CCR7+CD45RA-	CD3+CD8+CCR7+CD45RA-	central memory T cell	central memory cytotoxic T cell	CD3+, CD4-, CD8+, CCR7+, CD45RA-
CD3+CD8+CCR7-CD45RA-	CD3+CD8+CCR7-CD45RA-	effector memory T cell	effector memory cytotoxic T cell	CD3+, CD4-, CD8+, CCR7-, CD45RA-
CD3+CD8+CCR7-CD45RA+	CD3+CD8+CCR7-CD45RA+	effector T cell	effector cytotoxic T cell	CD3+, CD4-, CD8+, CCR7-, CD45RA+
CD3+CD8+CD38+HLA.DR+	CD3+CD8+CD38+HLA.DR+	activated T cell	activated cytotoxic T cell	CD3+, CD4-, CD8+, CD38+, HLA-DR+
CD3+CD8+CD38+HLA.DR-	CD3+CD8+CD38+HLA.DR-			
CD3+CD8+CD38-HLA.DR+	CD3+CD8+CD38-HLA.DR-			
CD3+CD8+CD38-HLA.DR-	CD3+CD8+CD38-HLA.DR+			
CD3+CD4+CD25+CD127-CCR4+CD45RO+	CD3+CD4+CD25+CD127-CCR4+CD45RO+	memory Treg	memory Tregs	CD3+, CD4+, CD127lo, CD25+, CCR4+, CD45RO+
CD3+CD4+CD25+CD127-CCR4+CD45RO-	CD3+CD4+CD25+CD127-CCR4+CD45RO-	naive Treg	naïve Tregs	CD3+, CD4+, CD127lo, CD25+, CCR4+, CD45RO-
CD3+CD4+CD25+CD127-CCR4-CD45RO-	CD3+CD4+CD25+CD127-CCR4-CD45RO-			
CD3+CD4+CD25+CD127-CCR4-CD45RO+	CD3+CD4+CD25+CD127-CCR4-CD45RO+			
CD3+CD4+CD25+CD127-CCR4-HLA.DR-	CD3+CD4+CD25+CD127-CCR4-HLA.DR-			
CD3+CD4+CD25+CD127-CCR4+HLA.DR-	CD3+CD4+CD25+CD127-CCR4+HLA.DR-			
CD3+CD4+CD25+CD127-CCR4-HLA.DR+	CD3+CD4+CD25+CD127-CCR4-HLA.DR+			
CD3+CD4+CD25+CD127-CCR4+HLA.DR+	CD3+CD4+CD25+CD127-CCR4+HLA.DR+	activated Treg	activated Tregs	CD3+, CD4+, CD127lo, CD25+, CCR4+, HLA-DR+
CD3+CD4+CXCR3-CCR6-	CD3+CD4+CXCR3-CCR6-	Th2	Th2 T helper	CD3+, CD4+, CD8-, CXCR3-, CCR6-
CD3+CD4+CXCR3+CCR6-	CD3+CD4+CXCR3+CCR6-	Th1	Th1 T helper	CD3+, CD4+, CD8-, CXCR3+, CCR6-
CD3+CD4+CXCR3-CCR6+	CD3+CD4+CXCR3-CCR6+	Th17	Th17 T helper	CD3+, CD4+, CD8-, CXCR3-, CCR6+
