"x","celllabel","parent","parentlabel","Score"
"<http://purl.obolibrary.org/obo/CL_0000037>","hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0000037>","hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0000037>","hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000034>","stem cell","1"
"<http://purl.obolibrary.org/obo/CL_0000037>","hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000723>","somatic stem cell","1"
"<http://purl.obolibrary.org/obo/CL_0000037>","hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000037>","hematopoietic stem cell","1"
"<http://purl.obolibrary.org/obo/CL_0000037>","hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0000037>","hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000048>","multi fate stem cell","1"
"<http://purl.obolibrary.org/obo/CL_0000037>","hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0000037>","hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0000037>","hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001008>","Kit and Sca1-positive hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0001008>","Kit and Sca1-positive hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0001008>","Kit and Sca1-positive hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000034>","stem cell","1"
"<http://purl.obolibrary.org/obo/CL_0001008>","Kit and Sca1-positive hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000723>","somatic stem cell","1"
"<http://purl.obolibrary.org/obo/CL_0001008>","Kit and Sca1-positive hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000037>","hematopoietic stem cell","1"
"<http://purl.obolibrary.org/obo/CL_0001008>","Kit and Sca1-positive hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001008>","Kit and Sca1-positive hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000048>","multi fate stem cell","1"
"<http://purl.obolibrary.org/obo/CL_0001008>","Kit and Sca1-positive hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0001008>","Kit and Sca1-positive hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001008>","Kit and Sca1-positive hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001008>","Kit and Sca1-positive hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0001008>","Kit and Sca1-positive hematopoietic stem cell","1"
"<http://purl.obolibrary.org/obo/CL_0001024>","CD34-positive, CD38-negative hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0001024>","CD34-positive, CD38-negative hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0001024>","CD34-positive, CD38-negative hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000034>","stem cell","1"
"<http://purl.obolibrary.org/obo/CL_0001024>","CD34-positive, CD38-negative hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000723>","somatic stem cell","1"
"<http://purl.obolibrary.org/obo/CL_0001024>","CD34-positive, CD38-negative hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000037>","hematopoietic stem cell","1"
"<http://purl.obolibrary.org/obo/CL_0001024>","CD34-positive, CD38-negative hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001024>","CD34-positive, CD38-negative hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000048>","multi fate stem cell","1"
"<http://purl.obolibrary.org/obo/CL_0001024>","CD34-positive, CD38-negative hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0001024>","CD34-positive, CD38-negative hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001024>","CD34-positive, CD38-negative hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001024>","CD34-positive, CD38-negative hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0001024>","CD34-positive, CD38-negative hematopoietic stem cell","1"
"<http://purl.obolibrary.org/obo/CL_0002033>","short term hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0002033>","short term hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0002033>","short term hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000034>","stem cell","1"
"<http://purl.obolibrary.org/obo/CL_0002033>","short term hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000723>","somatic stem cell","1"
"<http://purl.obolibrary.org/obo/CL_0002033>","short term hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000037>","hematopoietic stem cell","1"
"<http://purl.obolibrary.org/obo/CL_0002033>","short term hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002033>","short term hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000048>","multi fate stem cell","1"
"<http://purl.obolibrary.org/obo/CL_0002033>","short term hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0002033>","short term hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0002033>","short term hematopoietic stem cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
