"x","celllabel","plabel","marker","markerlabel","penalties","Number Of Hits","Score"
"<http://purl.obolibrary.org/obo/CL_0000037>","hematopoietic stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001008>","Kit and Sca1-positive hematopoietic stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001024>","CD34-positive, CD38-negative hematopoietic stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002033>","short term hematopoietic stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002034>","long term hematopoietic stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002246>","peripheral blood stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002352>","gestational hematopoietic stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002353>","fetal liver hematopoietic progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002354>","yolk sac hematopoietic stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002359>","placental hematopoietic stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002360>","AGM hematopoietic stem cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000038>","erythroid progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002000>","Kit-positive erythroid progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002003>","CD34-positive, GlyA-negative erythroid progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000041>","mature eosinophil","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000771>","eosinophil","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000774>","band form eosinophil","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000043>","mature basophil","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000767>","basophil","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000770>","band form basophil","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000094>","granulocyte","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000096>","mature neutrophil","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000775>","neutrophil","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000560>","band form neutrophil","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000776>","immature neutrophil","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000582>","neutrophilic metamyelocyte","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000580>","neutrophilic myelocyte","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
